Storage_GB,Price_COP
256,1252000
2048,2693000
1024,1211000
256,1544000
128,1398000
128,1772000
128,900000
128,900000
512,1498000
128,1280000
256,1799000
1024,2686000
128,1801000
1024,2232000
256,1750000
128,1059000
512,1728000
512,1184000
1024,2147000
512,1696000
1024,2810000
256,1339000
256,1466000
1024,2216000
1024,1940000
2048,2722000
256,1950000
256,1038000
1024,1590000
256,1703000
1024,2585000
1024,1941000
256,1256000
1024,2235000
1024,1838000
128,1003000
1024,2473000
512,1904000
1024,2646000
256,929000
1024,1921000
256,1543000
128,945000
1024,2378000
128,1805000
256,1197000
2048,3059000
2048,3625000
512,2381000
512,1959000
256,1668000
256,1089000
256,1574000
512,1884000
1024,2037000
1024,1884000
1024,1609000
128,900000
512,900000
128,1547000
512,1720000
256,1237000
1024,1989000
256,1515000
128,1249000
128,900000
1024,2487000
512,1782000
128,1422000
128,1650000
512,1335000
128,1801000
1024,2066000
512,2016000
128,1609000
128,900000
2048,3244000
256,1561000
256,1443000
1024,2084000
1024,2087000
2048,3368000
1024,2353000
256,1443000
128,900000
1024,2319000
512,1950000
256,2351000
1024,2552000
128,900000
512,1692000
128,2040000
512,1910000
128,1447000
128,1675000
128,1066000
512,1852000
512,1561000
512,1653000
2048,3375000
256,1060000
256,1946000
1024,1952000
256,1535000
2048,2483000
128,1603000
2048,3622000
128,1109000
1024,1678000
512,1772000
2048,3625000
128,900000
512,1218000
2048,2862000
512,1333000
512,1334000
512,900000
512,1896000
512,1796000
512,981000
1024,2704000
128,1988000
256,1130000
2048,3510000
1024,1892000
512,1733000
512,1326000
256,2316000
256,1312000
512,1711000
256,1155000
512,2405000
128,2070000
2048,3696000
2048,3426000
512,1411000
512,1992000
256,1428000
1024,2647000
512,2107000
256,1171000
1024,2501000
1024,2394000
1024,1012000
512,1981000
512,1488000
256,1076000
1024,1784000
1024,2068000
128,1507000
128,900000
256,1506000
1024,2352000
2048,3788000
256,1000000
512,1521000
256,1535000
2048,3502000
1024,2000000
1024,2601000
512,900000
256,929000
256,1570000
128,900000
1024,1652000
1024,1910000
2048,3352000
2048,2285000
512,1729000
1024,2535000
1024,2044000
1024,1974000
256,1591000
512,1584000
128,1871000
2048,2599000
512,1640000
256,1513000
512,1509000
512,900000
256,1366000
128,1675000
512,1972000
512,1803000
1024,1682000
512,1819000
1024,1892000
512,1802000
512,1709000
1024,1731000
256,1073000
128,1457000
128,1227000
1024,1785000
512,1292000
512,1539000
256,2058000
128,1105000
128,1310000
256,1471000
512,1208000
256,900000
256,1020000
1024,2220000
256,1465000
512,1942000
1024,2160000
256,1387000
512,1419000
1024,2475000
1024,1754000
128,900000
1024,2348000
512,1128000
256,2396000
512,1693000
2048,3182000
512,1337000
256,1304000
512,1490000
256,1214000
128,1568000
128,1135000
128,1722000
256,2496000
128,1197000
512,1722000
256,1582000
256,2155000
1024,2089000
512,1329000
512,1154000
256,1407000
256,1251000
128,2119000
256,2138000
256,1017000
256,1146000
128,1345000
128,1874000
512,1684000
256,1172000
256,1407000
512,1409000
512,1902000
128,1032000
1024,1917000
512,2126000
128,1008000
1024,1543000
1024,2160000
128,1171000
256,1635000
1024,2249000
512,1648000
256,1406000
256,1136000
256,1464000
512,2013000
512,1271000
256,1428000
512,2076000
512,1863000
128,1839000
256,1203000
512,928000
1024,2202000
512,1806000
512,2208000
128,1790000
256,1645000
512,1967000
256,1354000
256,943000
256,1477000
128,1708000
256,1693000
256,1764000
256,1259000
128,1209000
1024,2315000
512,1442000
512,1455000
1024,2241000
512,1965000
128,1235000
512,1196000
512,1366000
512,1742000
256,1507000
128,1412000
256,1639000
256,1433000
512,1767000
512,1643000
256,1890000
2048,3616000
512,1185000
256,1328000
128,1328000
256,1324000
256,2148000
256,1520000
256,1108000
256,1669000
256,1539000
1024,2243000
128,2038000
512,1801000
256,1309000
2048,2261000
128,1249000
256,1953000
2048,3007000
1024,1226000
1024,1922000
256,1827000
256,1649000
512,1325000
1024,1895000
512,1497000
512,1396000
256,900000
1024,2427000
256,1933000
256,900000
256,1928000
512,1620000
256,1920000
128,1330000
512,1715000
256,1579000
512,1345000
256,1908000
512,1212000
512,1500000
128,1525000
256,1227000
128,1626000
128,1866000
2048,3448000
256,900000
1024,2172000
256,1842000
512,1134000
1024,2411000
512,1928000
512,1176000
256,1764000
256,1539000
1024,2382000
1024,1735000
2048,3103000
128,900000
512,900000
1024,2178000
256,1871000
128,1416000
512,1635000
512,1586000
1024,1745000
128,1226000
1024,2290000
256,1256000
256,1731000
256,1509000
1024,2248000
512,2016000
512,1450000
256,1694000
1024,1967000
256,1566000
1024,1863000
256,1066000
256,1467000
512,907000
256,1312000
512,1018000
512,1972000
256,1850000
1024,1776000
256,1602000
512,2020000
1024,2483000
512,1747000
128,1609000
1024,1862000
512,1694000
256,1244000
128,1022000
1024,2136000
512,1800000
512,2126000
1024,2228000
1024,2378000
256,1692000
256,2505000
256,900000
512,1386000
128,1905000
512,1520000
1024,2476000
1024,2214000
256,2272000
1024,1676000
128,1804000
1024,2821000
128,909000
256,1744000
1024,1735000
128,1327000
256,1328000
512,900000
512,1830000
512,1718000
512,2252000
512,1905000
256,2347000
256,1473000
256,1388000
1024,2048000
512,1485000
256,900000
512,1573000
1024,1294000
256,1611000
512,1165000
512,1303000
512,1393000
128,1233000
1024,2124000
1024,2555000
512,1430000
512,1853000
1024,3214000
512,1812000
256,1358000
512,1349000
512,1583000
256,1076000
512,1768000
1024,2163000
1024,1257000
512,1653000
128,1746000
2048,2884000
1024,1860000
128,900000
1024,1378000
1024,2454000
512,1588000
512,1970000
256,2043000
128,1684000
256,1213000
1024,2180000
128,1069000
256,1147000
256,1568000
512,1328000
1024,1238000
256,1075000
256,1308000
512,2269000
512,1464000
256,1635000
512,1593000
128,1806000
256,1893000
512,2131000
256,900000
1024,2204000
256,1734000
512,1813000
512,1915000
128,1339000
512,1363000
256,900000
2048,2785000
128,2386000
256,1236000
128,900000
2048,3336000
512,2003000
512,2176000
128,1504000
512,1999000
256,2166000
1024,1823000
256,1053000
256,993000
128,1209000
512,2234000
512,1872000
128,1511000
1024,1394000
512,1384000
512,927000
256,1899000
256,2065000
512,1973000
256,1036000
256,2023000
1024,2020000
1024,1636000
256,1045000
256,1258000
512,1681000
256,1366000
128,900000
256,1916000
512,1601000
512,1375000
128,1759000
256,957000
256,900000
512,2170000
128,2072000
128,1130000
1024,2103000
256,972000
512,1663000
256,1240000
128,1274000
256,1594000
512,1222000
1024,1977000
1024,1400000
256,1288000
512,1623000
256,1522000
256,1526000
1024,2483000
128,900000
128,900000
256,1642000
128,900000
256,1504000
512,1189000
256,2060000
1024,2222000
1024,2034000
256,1921000
256,1005000
256,1081000
512,1156000
256,1084000
512,1685000
256,1628000
512,2045000
256,900000
256,1362000
1024,1678000
1024,2039000
128,2249000
1024,2238000
512,2021000
1024,2906000
1024,2573000
256,1251000
128,900000
256,1418000
512,1434000
512,1051000
256,1527000
128,1422000
1024,2829000
2048,2898000
512,1773000
256,1164000
256,1780000
128,1265000
1024,1653000
128,1310000
512,1817000
256,1533000
512,2079000
512,1082000
1024,1785000
256,1686000
128,1025000
128,1411000
1024,1154000
1024,3208000
512,1553000
512,2138000
512,1526000
256,1596000
1024,2718000
256,1897000
256,1349000
512,1607000
128,1717000
256,2364000
512,1738000
128,2098000
512,1564000
256,1811000
256,1871000
256,1266000
256,1132000
512,2119000
256,1218000
512,1303000
512,1387000
512,1447000
1024,2464000
512,1867000
256,1717000
128,1484000
256,1193000
512,1940000
128,1788000
512,1895000
512,1841000
256,1124000
1024,2206000
128,987000
128,1306000
512,1005000
512,1008000
512,1584000
256,1211000
256,1473000
1024,2068000
1024,2134000
512,1904000
256,1245000
512,1573000
256,2012000
128,1316000
1024,2050000
128,1348000
2048,2979000
256,1147000
256,1031000
512,1355000
1024,2471000
512,1409000
1024,2060000
512,1941000
512,1549000
1024,2375000
256,900000
512,1608000
256,1462000
2048,3052000
1024,1460000
128,1796000
512,1319000
1024,2256000
256,1434000
512,2062000
1024,2997000
128,900000
512,1401000
256,1506000
1024,1679000
2048,3356000
1024,2459000
512,1885000
1024,2216000
1024,2669000
256,968000
1024,2148000
128,1020000
512,2017000
256,900000
128,1304000
128,1449000
512,1282000
256,1180000
512,1667000
128,1697000
256,1017000
512,1317000
1024,2572000
256,1321000
512,1350000
1024,2413000
512,1466000
256,1841000
128,1050000
1024,2058000
128,1693000
1024,2031000
512,1963000
1024,2095000
1024,2914000
2048,3671000
256,900000
1024,2330000
256,1104000
512,1737000
512,1688000
1024,1699000
2048,3467000
1024,2203000
256,1317000
256,1255000
512,1717000
256,1594000
128,1265000
256,900000
256,1437000
256,900000
256,1347000
128,900000
128,900000
2048,3537000
256,1302000
256,1272000
512,1854000
256,1282000
1024,2963000
1024,2012000
128,1461000
256,1819000
1024,2763000
1024,1825000
512,1494000
512,2171000
256,1754000
2048,3473000
256,900000
1024,2741000
512,1356000
512,1738000
512,1602000
256,1079000
256,900000
256,900000
256,1478000
1024,1511000
256,977000
128,1228000
2048,1988000
1024,2433000
1024,1158000
2048,3012000
256,1436000
256,1646000
1024,2105000
512,2468000
256,1517000
1024,2543000
256,1141000
256,1479000
512,2280000
512,1566000
512,1738000
128,1708000
1024,1825000
256,900000
128,1417000
1024,2517000
2048,2503000
1024,2390000
1024,2392000
512,900000
512,1286000
128,1157000
256,1359000
256,1133000
256,1112000
512,2329000
512,1618000
128,1037000
256,1414000
512,1876000
128,1336000
1024,2039000
512,1401000
512,1396000
512,1422000
1024,2257000
256,1033000
512,1818000
512,2226000
256,1561000
1024,1974000
1024,1602000
512,2292000
1024,1654000
1024,2461000
512,1916000
1024,2027000
512,1556000
512,927000
512,1793000
1024,2370000
256,995000
1024,2059000
1024,2137000
128,1549000
1024,2123000
128,900000
256,1218000
512,1751000
256,1767000
1024,1875000
1024,2997000
512,903000
128,1090000
256,1397000
512,1581000
2048,2550000
512,1840000
256,1579000
512,1680000
512,1794000
1024,1952000
128,900000
1024,1835000
512,1724000
2048,3108000
256,1447000
512,1880000
1024,1889000
128,1326000
1024,2350000
512,1627000
128,900000
256,1046000
512,1993000
128,1872000
512,2131000
256,1523000
512,1180000
128,1313000
1024,2747000
2048,3291000
2048,2960000
512,1912000
128,900000
1024,1843000
128,900000
128,1503000
256,1716000
512,1599000
1024,1772000
512,1653000
256,1236000
256,1112000
2048,3179000
256,1127000
512,1034000
256,900000
1024,1480000
512,1760000
256,1491000
128,1355000
512,1896000
512,2138000
256,1193000
2048,3206000
256,900000
256,1982000
1024,1624000
256,1146000
512,1422000
256,900000
256,1443000
2048,3129000
256,1355000
1024,1506000
256,2224000
256,1650000
128,2369000
512,1339000
256,1814000
1024,2433000
512,1545000
2048,3608000
256,1268000
1024,1977000
1024,900000
1024,2285000
1024,1591000
1024,1901000
512,1250000
128,1169000
128,1493000
1024,2126000
512,1945000
1024,2628000
512,1513000
128,1124000
128,1698000
512,2076000
256,1727000
256,1050000
512,1830000
128,1359000
512,2082000
256,1201000
1024,1455000
256,1706000
512,900000
128,1023000
128,906000
256,1018000
512,1361000
512,2148000
256,1759000
512,1560000
1024,2575000
1024,1697000
128,900000
512,2006000
128,1547000
256,1246000
2048,2589000
128,1899000
512,973000
512,1421000
512,1752000
512,2382000
128,1468000
256,1623000
512,1433000
128,1543000
256,1473000
128,900000
128,1632000
256,1819000
128,1637000
512,1674000
512,1278000
1024,1198000
256,1493000
256,1863000
128,1713000
512,1987000
512,1631000
128,1750000
1024,2491000
128,1146000
